,file,measured_area_cm2,genus,species,bee,butter,fly,nesting,spring,forage_summer_1km,forage_fall_1km,insecticide,barren,corn,developed,forest,grain,orchard,pasture_hay,soybeans,vegetables_small_fruit,water_wetlands
0,1_206..jpg,62.55,Securigera,varia,2,0,0,0.271875,0.3875,0.51875,0.3875,0.30625,0.0,0.023042771,0.767679581,0.131653863,0.003164264,0.0,0.073884199,0.000575321,0.0,0.0
1,1_207..jpg,189.316,Daucus,carota,0,0,2,0.303125,0.3875,0.51875,0.3875,0.45,0.0,0.132183021,0.038792552,0.518305502,0.018009101,0.0,0.134361601,0.144828185,0.003451925,0.010068114
2,1_208..jpg,103.037,solidago ,x,0,0,0,0.325,0.378125,0.50625,0.378125,0.6625,0.0,0.12789089,0.037839629,0.53930611,0.017565708,0.0,0.125780524,0.1380971,0.003451925,0.010068114
3,1_209..jpg,39.449,Securigera,varia,4,1,0,0.325,0.38125,0.509375,0.38125,0.59375,3.3e-05,0.249050571,0.059972946,0.299287714,0.032735008,0.0,0.244974536,0.112981496,0.000677116,0.00028766
4,1_210..jpg,414.469,Solidago,canadensis,0,0,3,0.325,0.38125,0.509375,0.38125,0.59375,0.000287616,0.241432138,0.058348577,0.309392873,0.030875622,0.0,0.247375344,0.111137188,0.000862981,0.00028766
5,1_211..jpg,35.277,Achillea,millefolium,0,0,0,0.325,0.38125,0.509375,0.38125,0.60625,0.000862981,0.214730853,0.478513233,0.070062232,0.009896602,0.0,0.127821721,0.095523434,0.002588944,0.0
6,1_213..jpg,169.551,solidago,x,6,0,2,0.303125,0.409375,0.521875,0.409375,0.475,0.000575321,0.070410315,0.482002972,0.136279415,0.002030834,0.00028766,0.305851133,0.002274689,0.00028766,0.0
7,1_215..jpg,84.41,daucus,carota,0,0,1,0.303125,0.409375,0.521875,0.409375,0.475,0.000575321,0.072304379,0.431447587,0.180266224,0.001725962,0.00028766,0.310516263,0.002588944,0.00028766,0.0
8,1_216..jpg,114.883,Physostegia,virginiana,17,0,0,0.303125,0.409375,0.521875,0.409375,0.475,0.000575321,0.072483444,0.4310675,0.179934743,0.001725962,0.00028766,0.311048766,0.002588944,0.00028766,0.0
9,1_217..jpg,201.93,Solidago,canadensis,1,0,0,0.246875,0.2625,0.415625,0.2625,2.725,0.000862981,0.208350618,0.448795553,0.079905496,0.011632232,0.0,0.131265772,0.116598405,0.002588944,0.0
10,1_218..jpg,17.824,Trifolium, pratense,0,1,0,0.24375,0.259375,0.415625,0.259375,2.75625,0.000575321,0.07472683,0.409307585,0.188888118,0.001725962,0.00028766,0.321611919,0.002588944,0.00028766,0.0
11,1_219..jpg,10.88,Trifolium,pratense,1,0,0,0.25,0.265625,0.41875,0.265625,2.65625,0.000862981,0.05703243,0.556459523,0.130793614,0.019000137,0.00028766,0.210580228,0.024027165,0.000575321,0.000380941
12,1_220..jpg,490.149,solidago ,canadensis,1,0,1,0.24375,0.2625,0.415625,0.2625,2.725,0.000862981,0.051983038,0.564300527,0.135035424,0.018719437,0.00028766,0.204091787,0.023676053,0.000316121,0.000726972
13,1_221..jpg,47.325,Daucus,carota,0,0,2,0.509375,0.38125,0.5,0.38125,0.85,0.000862981,0.048877617,0.576090201,0.140535566,0.019144224,0.00028766,0.193612255,0.019591057,0.0,0.000998438
14,1_222..jpg,25.773,Lotus,corniculatus,3,1,1,0.509375,0.38125,0.5,0.38125,0.85,0.000862981,0.054318129,0.561333226,0.132298852,0.018548585,0.00028766,0.207759981,0.023427281,0.00053357,0.000629735
15,1_223..jpg,21.075,Lotus,corniculatus,1,0,0,0.496875,0.378125,0.5,0.378125,0.996875,0.000862981,0.052745391,0.563070575,0.133952615,0.018551292,0.00028766,0.205768436,0.023611788,0.000429879,0.000719382
16,1_224..jpg,29.485,Daucus,carota,0,0,1,0.50625,0.378125,0.5,0.378125,0.940625,0.000575321,0.223446177,0.043035903,0.234941426,0.027083588,0.0,0.200049146,0.265908503,0.003739585,0.001220351
17,1_225..jpg,219.78,solidago,x,7,0,0,0.26875,0.409375,0.534375,0.409375,0.290625,0.000575321,0.219410577,0.042984842,0.239799787,0.028159938,0.0,0.202439568,0.261767884,0.003739585,0.001122497
18,1_226..jpg,488.371,Rudbeckia,x,10,0,0,0.271875,0.409375,0.534375,0.409375,0.30625,0.000575321,0.210715253,0.043819189,0.24542555,0.033349932,0.0,0.213856483,0.247964254,0.003739585,0.000554433
19,1_227..jpg,25.113,Lotus,corniculatus,3,0,0,0.240625,0.396875,0.528125,0.396875,0.2,0.000575321,0.224172042,0.045689512,0.223778315,0.032814848,0.0,0.212858031,0.256339277,0.003739585,3.31e-05
20,1_228..jpg,302.376,Rudbeckia,x,4,0,3,0.234375,0.4125,0.540625,0.4125,0.034375,0.000862981,0.223622508,0.43275278,0.084595469,0.0087305,0.0,0.132401803,0.114445015,0.002588944,0.0
21,1_229..jpg,5.27,Carduus,acanthoides,3,0,0,0.234375,0.4125,0.540625,0.4125,0.03125,0.00028766,0.043719152,0.014795184,0.695477491,0.002246241,0.0,0.239447027,0.002013623,0.000862981,0.001150642
22,1_230..jpg,61.921,daucus,carota,0,0,1,0.234375,0.4125,0.540625,0.4125,0.0375,0.00028766,0.044150659,0.015327443,0.692361195,0.002273061,0.0,0.241572736,0.002013623,0.000862981,0.001150642
23,1_232..jpg,37.423,Vernonia,x,0,0,2,0.40625,0.315625,0.453125,0.315625,1.5875,0.00028766,0.057244188,0.018562314,0.668667471,0.002315553,0.0,0.248848712,0.002060477,0.000862981,0.001150642
24,1_233..jpg,40.507,Daucus,carota,0,0,0,0.425,0.321875,0.45625,0.321875,1.471875,0.000575321,0.016611726,0.694371356,0.11154014,0.001775856,0.00028766,0.173687298,0.000862981,0.00028766,0.0
25,1_234..jpg,25.607,Solidagi,x,1,0,0,0.334375,0.30625,0.446875,0.30625,2.159375,0.000575321,0.017377642,0.685085754,0.112485162,0.002013623,0.00028766,0.181024196,0.000862981,0.00028766,0.0
26,1_235..jpg,142.987,Helenium,autumnale,1,0,0,0.3375,0.309375,0.446875,0.309375,2.11875,0.0,0.007550402,0.693349954,0.095513739,0.002588944,0.0,0.198695678,0.001438302,0.000862981,0.0
27,1_236..jpg,29.12,Trifolium,pratense,0,0,1,0.228125,0.34375,0.478125,0.34375,1.45,0.000533828,0.004171397,0.869905094,0.062335318,0.002876604,0.0,0.059601091,0.000576669,0.0,0.0
28,1_237..jpg,62.38,Celosia,x,1,1,0,0.23125,0.340625,0.475,0.340625,1.471875,0.000575321,0.003918209,0.870448511,0.060260574,0.002876604,0.0,0.061176775,0.000744007,0.0,0.0
29,1_238..jpg,72.236,Erigeron,strigosus,0,0,4,0.234375,0.340625,0.475,0.340625,1.53125,0.000575321,0.006229476,0.86697677,0.059609682,0.002876604,0.0,0.062988023,0.000744123,0.0,0.0
