ID,genus,species,flora_area_cm2,flora_area_model_version,crown_image,landscape_1,landscape_2,landscape_3,landscape_4,longitude,latitude,timestamp,timespan,bee,butter,fly,nesting,spring,forage_summer_1km,forage_fall_1km,insecticide,barren,corn,developed,forest,grain,orchard,pasture_hay,soybeans,vegetables_small_fruit,water_wetlands
239,daucus,carota,214.1945289,FloralAreaCalculator 1.0.0,1_239..jpg,2_239..jpg,3_239..jpg,4_239..jpg,5_239..jpg,-77.88196,40.76095,2025-09-12 22:18:08.837168+00:00,600,0,0,2,0.225,0.35,0.484375,0.35,1.3375,0.000862981,0.193583122,0.515237367,0.05845425,0.012065139,0,0.130329038,0.08687916,0.002588944,0
238,Erigeron,strigosus,None,None,1_238..jpg,2_238..jpg,3_238..jpg,4_238..jpg,5_238..jpg,-77.88248,40.759552,2025-09-12 22:01:40.406951+00:00,600,0,0,4,0.234375,0.340625,0.475,0.340625,1.53125,0.000575321,0.006229476,0.86697677,0.059609682,0.002876604,0,0.062988023,0.000744123,0,0
237,Celosia,x,None,None,1_237..jpg,2_237..jpg,3_237..jpg,4_237..jpg,5_237..jpg,-77.88183,40.759777,2025-09-12 21:41:13.831544+00:00,600,1,1,0,0.23125,0.340625,0.475,0.340625,1.471875,0.000575321,0.003918209,0.870448511,0.060260574,0.002876604,0,0.061176775,0.000744007,0,0
236,Trifolium,pratense,None,None,1_236..jpg,2_236..jpg,3_236..jpg,4_236..jpg,5_236..jpg,-77.882416,40.76035,2025-09-12 21:26:08.200720+00:00,600,0,0,1,0.228125,0.34375,0.478125,0.34375,1.45,0.000533828,0.004171397,0.869905094,0.062335318,0.002876604,0,0.059601091,0.000576669,0,0
235,Helenium,autumnale,None,None,1_235..jpg,2_235..jpg,3_235..jpg,4_235..jpg,5_235..jpg,-77.972305,40.704582,2025-09-10 15:30:12.951151+00:00,600,1,0,0,0.3375,0.309375,0.446875,0.309375,2.11875,0,0.007550402,0.693349954,0.095513739,0.002588944,0,0.198695678,0.001438302,0.000862981,0
234,Solidagi,x,None,None,1_234..jpg,2_234..jpg,3_234..jpg,4_234..jpg,5_234..jpg,-77.972664,40.70477,2025-09-10 15:17:44.509976+00:00,600,1,0,0,0.334375,0.30625,0.446875,0.30625,2.159375,0.000575321,0.017377642,0.685085754,0.112485162,0.002013623,0.00028766,0.181024196,0.000862981,0.00028766,0
233,Daucus,carota,None,None,1_233..jpg,2_233..jpg,3_233..jpg,4_233..jpg,5_233..jpg,-77.93393,40.71193,2025-09-10 14:47:22.918820+00:00,600,0,0,0,0.425,0.321875,0.45625,0.321875,1.471875,0.000575321,0.016611726,0.694371356,0.11154014,0.001775856,0.00028766,0.173687298,0.000862981,0.00028766,0
232,Vernonia,x,None,None,1_232..jpg,2_232..jpg,3_232..jpg,4_232..jpg,5_232..jpg,-77.93427,40.71212,2025-09-10 14:33:22.713392+00:00,600,0,0,2,0.40625,0.315625,0.453125,0.315625,1.5875,0.00028766,0.057244188,0.018562314,0.668667471,0.002315553,0,0.248848712,0.002060477,0.000862981,0.001150642
231,Rudbeckia,x,None,None,None,None,None,None,None,-77.89634,40.800907,2025-09-09 21:58:45.049013+00:00,600,0,0,0,0.284375,0.41875,0.5375,0.41875,0.1125,0.00028766,0.058181049,0.01895107,0.664273444,0.002512981,0,0.251608654,0.00217152,0.000862981,0.001150642
230,daucus,carota,19.39380669,FloralAreaCalculator 1.0.0,1_230..jpg,2_230..jpg,3_230..jpg,4_230..jpg,5_230..jpg,-77.8914,40.803093,2025-09-09 21:31:54.345126+00:00,600,0,0,1,0.234375,0.4125,0.540625,0.4125,0.0375,0.00028766,0.044150659,0.015327443,0.692361195,0.002273061,0,0.241572736,0.002013623,0.000862981,0.001150642
229,Carduus,acanthoides,4.606367254,FloralAreaCalculator 1.0.0,1_229..jpg,2_229..jpg,3_229..jpg,4_229..jpg,5_229..jpg,-77.89176,40.803467,2025-09-09 21:08:04.068617+00:00,600,3,0,0,0.234375,0.4125,0.540625,0.4125,0.03125,0.00028766,0.043719152,0.014795184,0.695477491,0.002246241,0,0.239447027,0.002013623,0.000862981,0.001150642
228,Rudbeckia,x,None,None,1_228..jpg,2_228..jpg,3_228..jpg,4_228..jpg,5_228..jpg,-77.89198,40.803375,2025-09-09 20:53:25.538598+00:00,600,4,0,3,0.234375,0.4125,0.540625,0.4125,0.034375,0.000862981,0.223622508,0.43275278,0.084595469,0.0087305,0,0.132401803,0.114445015,0.002588944,0
227,Lotus,corniculatus,13.21100917,FloralAreaCalculator 1.0.0,1_227..jpg,2_227..jpg,3_227..jpg,4_227..jpg,5_227..jpg,-77.8662,40.806484,2025-09-09 15:37:08.259676+00:00,600,3,0,0,0.240625,0.396875,0.528125,0.396875,0.2,0.000575321,0.224172042,0.045689512,0.223778315,0.032814848,0,0.212858031,0.256339277,0.003739585,3.31E-05
